,year,title,genre,down
100208,2016,머니 몬스터 (Money Monster),"['스릴러', '범죄', '드라마']",0
100598,2016,나의 노예가 되어주세요 (Be My Slave),['멜로/로맨스'],0
100980,2016,33 데이즈 (33 Days),['드라마'],0
101813,2016,더 테러리스트 (The Terrorist),"['멜로/로맨스', '스릴러']",0
101847,2016,드로잉 홈 (Drawing Home),"['모험', '드라마', '멜로/로맨스']",0
101904,2016,트롤 (Trolls),"['애니메이션', '모험', '가족', '판타지', '뮤지컬']",0
102870,2016,더 퀸 오브 스페인 (The Queen of Spain),"['코미디', '드라마']",0
102871,2016,아이 엠 래스 (I Am Wrath),"['액션', '범죄', '드라마', '스릴러']",0
102886,2016,포어세이큰 (The Forsaken),"['드라마', '서부']",0
103798,2016,용쟁호투: 전설의 시작 (Birth of the Dragon),"['액션', '드라마']",0
104433,2016,리메모리 (Rememory),"['드라마', '미스터리', 'SF']",0
105017,2016,더 로스트 트리 (The Lost Tree),"['드라마', '공포', '스릴러']",0
105547,2016,식 피플 (Sick People),"['공포', '스릴러']",0
105841,2016,어 윈터 로즈 (A Winter Rose),['드라마'],0
105847,2016,샐베이션 (Salvation),"['범죄', '드라마']",0
105879,2016,에벌라스팅 (Everlasting),"['범죄', '드라마', '미스터리']",0
106454,2016,활 : 명궁 류백원 (Judge Archer),"['액션', '무협']",0
107308,2016,데인저 클로즈 (Danger Close),"['액션', '드라마', '전쟁']",0
109022,2016,핫 봇 (Hot Bot),"['코미디', 'SF']",0
109651,2016,겟 어 잡 (Get a Job),['코미디'],0
109902,2016,스킵트레이스: 합동수사 (Skiptrace),"['액션', '코미디']",0
109933,2016,세상의 모든 엄마와 딸들 (Mothers and Daughters),['드라마'],0
109960,2016,배트맨 대 슈퍼맨: 저스티스의 시작 (Batman v Superman: Dawn of Justice),"['액션', '모험', '판타지', 'SF']",0
110096,2016,얼터드 리얼리티 (Altered Reality ),"['다큐멘터리', '코미디']",0
110329,2016,디어 엘리너 (Dear Eleanor),"['모험', '코미디', '드라마', '가족']",0
110333,2016,레지던트 이블: 파멸의 날 (Resident Evil: The Final Chapter),"['액션', 'SF', '스릴러']",0
110379,2016,아우토반 (Collide),"['액션', '스릴러']",0
110391,2016,사랑만 있으면 되나요? (Love Is All You Need?),['드라마'],0
110635,2016,더 할로우 포인트 (The Hollow Point),"['범죄', '스릴러']",0
111023,2016,스피달링스 (Spidarlings),"['코미디', '공포', '뮤지컬']",0
111036,2016,476 에이.디. (476 A.D.),[],0
111041,2016,사일런트 스크림스 (Silent Screams),"['공포', '스릴러']",0
112034,2016,화광여인 (Lady in the Portrait),['드라마'],0
112819,2016,하우스 오브 페거토리 (House of Purgatory),"['공포', '스릴러']",0
113098,2016,하우스 오브 아더스 (House of Others),['드라마'],0
113280,2016,데드파이트 (Initiation),"['액션', '스릴러']",0
113343,2016,리브 바이 나이트 (Live by Night),"['범죄', '드라마']",0
113344,2016,나우 유 씨 미 2 (Now You See Me 2),"['범죄', '액션']",0
114247,2016,지니어스 (Genius),['드라마'],0
114281,2016,마스터마인드 (Masterminds),"['액션', '코미디', '범죄']",0
114282,2016,컨저링 2 (The Conjuring 2),['공포'],0
115504,2016,탐정 홍길동: 사라진 마을 (Phantom Detective),"['드라마', '액션']",0
115620,2016,갤럭시 히어로즈: 라쳇 앤 클랭크 (Ratchet and Clank),"['애니메이션', '액션', '모험', '코미디', 'SF']",0
115642,2016,신비한 동물사전 (Fantastic Beasts and Where to Find Them),"['판타지', '모험']",0
116233,2016,패신저스 (Passengers),"['모험', 'SF']",0
117803,2016,월터 교수의 마지막 강의 (Anesthesia),['드라마'],0
118307,2016,어쌔신 크리드 (Assassin's Creed),"['액션', '모험', '판타지', 'SF']",0
118918,2016,캔디 스토어 (Candy Store),"['범죄', '스릴러']",0
118939,2016,미드나잇 스페셜 (Midnight Special),"['모험', '드라마', 'SF']",0
118953,2016,거울나라의 앨리스 (Alice Through the Looking Glass),"['모험', '가족', '판타지']",0
118965,2016,인카네이트 (Incarnate),"['공포', '스릴러']",0
118967,2016,갓 오브 이집트 (Gods of Egypt),"['모험', '판타지']",0
118995,2016,키즈 인 러브 (Kids in Love),['드라마'],0
119199,2016,조니 프랭크 가렛츠 라스트 워드 (Johnny Frank Garrett’s last word),['공포'],0
119412,2016,잭 리처: 네버 고 백 (Jack Reacher: Never Go Back),"['액션', '범죄', '드라마', '미스터리', '스릴러']",0
119416,2016,메리 (Mary),"['액션', '드라마']",0
