code,title,관객수,매출액,year,genre,down
146469,택시운전사,12186327,95853645649,2017,"['드라마', '가족']",0
85579,신과함께-죄와벌,8539495,68350496432,2017,"['판타지', '드라마']",0
135874,스파이더맨:홈커밍,7258678,59125813820,2017,"['액션', '모험', 'SF']",0
161242,범죄도시,6879841,56318014149,2017,['액션'],0
146506,군함도,6592151,50510565168,2017,"['액션', '드라마']",0
153652,청년경찰,5653270,44381150516,2017,['액션'],0
136872,미녀와야수,5138330,42133769579,2017,"['판타지', '뮤지컬', '멜로/로맨스']",0
149747,킹스맨:골든서클,4945484,40987484736,2017,"['액션', '모험', '코미디']",0
134898,토르:라그나로크,4853778,39227691395,2017,"['액션', '모험', '판타지', 'SF']",0
152385,꾼,4018035,31312029795,2017,['범죄'],0
155665,강철비,4014293,31994897566,2017,"['액션', '드라마']",0
150637,남한산성,3849087,31225083792,2017,['드라마'],0
120160,미이라,3689325,30504689978,2017,"['액션', '모험', '판타지']",0
140731,분노의질주:더익스트림,3653238,29981156348,2017,"['액션', '범죄', '스릴러']",0
132626,슈퍼배드3,3324874,24217091019,2017,"['애니메이션', '모험', '코미디']",0
161850,아이캔스피크,3279296,25526451186,2017,['드라마'],0
82473,캐리비안의해적:죽은자는말이없다,3049894,24975495122,2017,"['액션', '모험', '코미디', '판타지']",0
146480,덩케르크,2788732,24550541348,2017,"['액션', '드라마', '스릴러', '전쟁']",0
127398,가디언즈오브갤럭시VOL.2,2735721,23452686686,2017,"['액션', 'SF']",0
123630,트랜스포머:최후의기사,2614601,21501959228,2017,"['액션', '모험', 'SF']",0
127382,조작된도시,2515501,20143992587,2017,"['액션', '범죄']",0
129094,보스베이비,2452245,18936306704,2017,"['애니메이션', '코미디', '가족']",0
117787,로건,2169109,18391060223,2017,"['액션', 'SF']",0
125473,원더우먼,2165401,17468588886,2017,"['액션', '모험', '판타지', 'SF']",0
156083,겟아웃,2138174,17431830075,2017,"['미스터리', '공포', '스릴러', '드라마']",0
143394,혹성탈출:종의전쟁,2051315,16854482778,2017,"['액션', '모험', '드라마', 'SF']",0
158191,1987,1942077,15254004037,2017,['드라마'],0
152341,애나벨:인형의주인,1934270,15527492238,2017,"['공포', '스릴러', '미스터리']",0
162173,노무현입니다,1855149,14556517612,2017,['다큐멘터리'],0
116866,저스티스리그,1786383,14629677795,2017,"['액션', '모험', '판타지', 'SF']",0
152625,킬러의보디가드,1721757,14020395800,2017,"['액션', '코미디']",0
127397,콩:스컬아일랜드,1689717,13990563383,2017,"['액션', '모험', '판타지', 'SF']",0
160749,부라더,1492903,11783109998,2017,['코미디'],0
160399,기억의밤,1386611,10646654660,2017,"['미스터리', '스릴러']",0
164932,해피데스데이,1382650,11004455402,2017,"['미스터리', '공포', '스릴러']",0
152170,브이아이피,1373316,10956621835,2017,"['범죄', '드라마']",0
99715,에이리언:커버넌트,1307226,10745826264,2017,"['SF', '스릴러', '공포']",0
137696,장산범,1306438,10341783083,2017,"['미스터리', '스릴러']",0
155256,악녀,1208081,9739662144,2017,['액션'],0
137875,해빙,1204600,9905406822,2017,['스릴러'],0
152168,하루,1129609,9072737842,2017,['스릴러'],0
129095,지오스톰,1028384,8480864614,2017,"['액션', 'SF', '스릴러']",0
125488,스타워즈:라스트제다이,946547,8535886061,2017,"['액션', '모험', '판타지', 'SF']",0
154668,그것,888836,7335022607,2017,"['공포', '드라마']",0
154272,오리엔트특급살인,863567,6636205163,2017,"['드라마', '미스터리', '범죄']",0
149221,대립군,837500,6276963402,2017,['드라마'],0
143402,베이비드라이버,822769,6699906214,2017,"['액션', '범죄', '스릴러']",0
106360,위대한쇼맨,814587,6657039200,2017,"['드라마', '뮤지컬']",0
169349,뽀로로극장판공룡섬대모험,773743,5848888600,2017,['애니메이션'],0
134838,공각기동대:고스트인더쉘,764072,6285970884,2017,"['SF', '범죄', '액션']",0
143473,아빠는딸,647305,5054757395,2017,"['코미디', '드라마']",0
162744,컨택트,634150,5214551521,2017,['애니메이션'],0
152616,47미터,590045,4686079657,2017,"['공포', '스릴러']",0
159037,메리와마녀의꽃,535331,4064280239,2017,"['애니메이션', '모험']",0
149777,얼라이드,518916,4278251179,2017,"['서스펜스', '드라마', '멜로/로맨스']",0
137970,발레리안:천개행성의도시,511931,4047756408,2017,"['액션', '모험', 'SF']",0
153642,침묵,494097,3930219264,2017,['드라마'],0
152396,카3:새로운도전,487916,3599544501,2017,"['애니메이션', '모험', '코미디', '가족']",0
102278,트리플엑스리턴즈,475309,3967335095,2017,"['액션', '모험', '스릴러']",0
159830,너의췌장을먹고싶어,465265,3703660800,2017,['드라마'],0
152633,라이프,459984,3791748210,2017,"['SF', '스릴러']",0
159054,명탐정코난:진홍의연가,450043,3268917200,2017,"['애니메이션', '서스펜스', '모험']",0
155411,반드시잡는다,446780,3326439772,2017,['스릴러'],0
118966,스머프:비밀의숲,427764,3122661000,2017,"['애니메이션', '가족']",0
127374,킹아서:제왕의검,415714,3373678655,2017,"['액션', '모험', '드라마', '판타지']",0
165722,극장판포켓몬스터너로정했다!,415255,3117529700,2017,"['모험', '가족', '애니메이션']",0
121052,넛잡2,411787,3069388100,2017,"['애니메이션', '모험', '코미디', '가족']",0
137945,아메리칸메이드,401541,3175539145,2017,"['범죄', '액션']",0
144379,러빙빈센트,384542,3061472861,2017,"['애니메이션', '미스터리']",0
152331,보통사람,383336,2956397623,2017,['드라마'],0
154353,대장김창수,381483,2879121115,2017,['드라마'],0
127346,석조저택살인사건,353517,2829106886,2017,"['스릴러', '서스펜스']",0
155715,7호실,347790,2677284639,2017,['블랙코미디'],0
163844,몬스터패밀리,341630,2531272700,2017,"['애니메이션', '코미디', '가족']",0
156477,극장판짱구는못말려:습격!!외계인덩덩이,333184,2418607200,2017,"['애니메이션', '코미디', 'SF', '가족']",0
143435,옥자,322157,2437680900,2017,"['모험', '액션', '드라마']",0
88227,블레이드러너2049,321424,2764093365,2017,"['SF', '액션']",0
165025,빅풋주니어,320545,2260352900,2017,"['애니메이션', '모험', '가족']",0
143932,존윅-리로드,276379,2205582600,2017,"['액션', '범죄', '스릴러']",0
165461,공범자들,260514,2035223800,2017,['다큐멘터리'],0
