순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,부산행,2016.7.20,"93,178,283,048",5.3%,"11,565,479","1,788","151,315",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2,검사외전,2016.2.3,"77,320,403,264",4.4%,"9,707,581","1,812","153,532",한국,한국,(주)쇼박스
3,캡틴 아메리카: 시빌 워,2016.4.27,"72,672,111,827",4.2%,"8,677,249","1,991","161,696",미국,미국,월트디즈니컴퍼니코리아(주)
4,밀정,2016.9.7,"61,269,783,831",3.5%,"7,500,420","1,444","138,161",한국,한국,워너브러더스 코리아(주)
5,터널,2016.8.10,"57,529,484,417",3.3%,"7,120,508","1,105","113,201",한국,한국,(주)쇼박스
6,인천상륙작전,2016.7.27,"55,101,410,303",3.2%,"7,049,643","1,049","97,019",한국,한국,씨제이이앤엠(주)
7,럭키,2016.10.13,"56,444,461,256",3.2%,"6,975,290","1,234","155,977",한국,한국,(주)쇼박스
8,곡성,2016.5.12,"55,863,520,382",3.2%,"6,879,908","1,485","130,322",한국,한국,이십세기폭스코리아(주)
9,덕혜옹주,2016.8.3,"44,393,828,109",2.5%,"5,599,229",964,"97,312",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
10,닥터 스트레인지,2016.10.26,"47,481,830,396",2.7%,"5,446,239","1,503","162,856",미국,미국,월트디즈니컴퍼니코리아(주)
11,마스터,2016.12.21,"39,784,641,065",2.3%,"4,935,320","1,501","70,786",한국,한국,씨제이이앤엠(주)
12,주토피아,2016.2.17,"37,096,057,742",2.1%,"4,706,158",735,"131,005",미국,미국,월트디즈니컴퍼니코리아(주)
13,신비한 동물사전,2016.11.16,"39,300,515,858",2.3%,"4,662,534","1,431","115,676",미국,"미국,영국",워너브러더스 코리아(주)
14,판도라,2016.12.7,"33,955,398,164",1.9%,"4,313,864","1,184","90,758",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
15,아가씨,2016.6.1,"35,211,229,991",2.0%,"4,287,839","1,171","90,365",한국,한국,씨제이이앤엠(주)
16,쿵푸팬더3,2016.1.28,"31,340,798,156",1.8%,"3,984,812","1,365","97,404",미국,미국,씨제이이앤엠(주)
17,귀향,2016.2.24,"27,249,738,990",1.6%,"3,587,173",876,"90,286",한국,한국,(주)와우픽쳐스
18,데드풀,2016.2.17,"27,595,618,651",1.6%,"3,317,196","1,036","82,521",미국,미국,이십세기폭스코리아(주)
19,나우 유 씨 미 2,2016.7.13,"25,116,690,113",1.4%,"3,100,113","1,200","56,981",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
20,형,2016.11.23,"23,113,768,293",1.3%,"2,979,659",993,"83,518",한국,한국,씨제이이앤엠(주)
21,엑스맨: 아포칼립스,2016.5.25,"24,467,887,950",1.4%,"2,938,818","1,262","66,471",미국,미국,이십세기폭스코리아(주)
22,미스 페레그린과 이상한 아이들의 집,2016.9.28,"21,841,214,586",1.3%,"2,718,158",904,"70,451",미국,"미국,벨기에,영국",이십세기폭스코리아(주)
23,히말라야,2015.12.16,"20,705,587,567",1.2%,"2,630,352",955,"61,673",한국,한국,씨제이이앤엠(주)
24,제이슨 본,2016.7.27,"21,253,434,663",1.2%,"2,611,966",827,"39,806",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
25,도리를 찾아서,2016.7.6,"20,703,899,933",1.2%,"2,601,734","1,091","55,110",미국,미국,월트디즈니컴퍼니코리아(주)
26,아수라,2016.9.28,"20,576,226,662",1.2%,"2,594,028","1,278","68,040",한국,한국,씨제이이앤엠(주)
27,정글북,2016.6.9,"21,517,647,134",1.2%,"2,537,438",924,"59,041",미국,미국,월트디즈니컴퍼니코리아(주)
28,마이펫의 이중생활,2016.8.3,"19,406,436,655",1.1%,"2,520,670",726,"39,653",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
29,라라랜드,2016.12.7,"19,996,139,232",1.1%,"2,385,108",727,"56,408",미국,미국,판씨네마(주)
30,배트맨 대 슈퍼맨: 저스티스의 시작,2016.3.24,"18,906,246,428",1.1%,"2,256,913","1,709","95,669",미국,미국,워너브러더스 코리아(주)
31,굿바이 싱글,2016.6.29,"16,912,706,195",1.0%,"2,108,273",841,"56,380",한국,한국,(주)쇼박스
32,봉이 김선달,2016.7.6,"16,227,052,642",0.9%,"2,051,277",942,"51,418",한국,한국,씨제이이앤엠(주)
33,레버넌트: 죽음에서 돌아온 자,2016.1.14,"16,107,360,130",0.9%,"2,007,188",967,"55,063",미국,미국,이십세기폭스코리아(주)
34,컨저링 2,2016.6.9,"15,759,374,229",0.9%,"1,928,605",640,"45,816",미국,미국,워너브러더스 코리아(주)
35,내부자들: 디 오리지널,2015.12.31,"15,742,927,260",0.9%,"1,924,720",838,"45,697",한국,한국,(주)쇼박스
36,수어사이드 스쿼드,2016.8.3,"15,874,111,188",0.9%,"1,898,220",823,"29,512",미국,미국,워너브러더스 코리아(주)
37,인디펜던스 데이 : 리써전스,2016.6.22,"12,770,879,840",0.7%,"1,500,830",926,"47,432",미국,미국,이십세기폭스코리아(주)
38,탐정 홍길동: 사라진 마을,2016.5.4,"11,516,170,845",0.7%,"1,430,885",764,"41,076",한국,한국,씨제이이앤엠(주)
39,벤허,2016.9.14,"11,410,860,395",0.7%,"1,400,301",717,"38,941",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
40,굿 다이노,2016.1.7,"9,756,167,238",0.6%,"1,328,913",814,"33,127",미국,미국,월트디즈니컴퍼니코리아(주)
41,셜록: 유령신부,2016.1.2,"9,992,425,049",0.6%,"1,278,894",891,"32,683",영국,영국,메가박스(주)플러스엠
42,특별수사: 사형수의 편지,2016.6.16,"9,929,947,065",0.6%,"1,241,899",691,"39,372",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
43,시간이탈자,2016.4.13,"9,731,838,195",0.6%,"1,202,384",733,"55,075",한국,한국,씨제이이앤엠(주)
44,동주,2016.2.17,"8,889,077,089",0.5%,"1,172,641",543,"39,958",한국,한국,메가박스(주)플러스엠
45,워크래프트: 전쟁의 서막,2016.6.9,"10,142,271,205",0.6%,"1,163,274",736,"34,087",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
46,스타트렉 비욘드,2016.8.17,"10,190,375,820",0.6%,"1,157,156",716,"38,199",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
47,미씽: 사라진 여자,2016.11.30,"8,881,616,256",0.5%,"1,153,109",790,"40,617",한국,한국,메가박스(주)플러스엠
48,"당신, 거기 있어줄래요",2016.12.14,"8,999,085,248",0.5%,"1,124,815",767,"39,181",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
49,라이트 아웃,2016.8.24,"8,893,059,975",0.5%,"1,111,284",659,"34,444",미국,미국,워너브러더스 코리아(주)
50,오빠생각,2016.1.21,"8,060,591,287",0.5%,"1,069,864",855,"44,801",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
51,"날, 보러와요",2016.4.7,"8,836,144,063",0.5%,"1,063,442",683,"49,237",한국,한국,메가박스(주)플러스엠
52,씽,2016.12.21,"8,203,857,789",0.5%,"1,063,175",795,"19,645",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
53,맨 인 더 다크,2016.10.5,"8,480,368,672",0.5%,"1,003,406",671,"40,136",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
54,"고산자, 대동여지도",2016.9.7,"7,801,007,258",0.4%,"974,262",765,"38,048",한국,한국,씨제이이앤엠(주)
55,미 비포 유,2016.6.1,"7,663,772,990",0.4%,"945,172",481,"28,458",미국,미국,워너브러더스 코리아(주)
56,매그니피센트 7,2016.9.14,"7,633,490,421",0.4%,"921,317",579,"27,648",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
57,갓 오브 이집트,2016.3.3,"7,621,291,624",0.4%,"919,834",618,"35,323",미국,미국,"(주)시네마서비스,(주)나이너스엔터테인먼트"
58,레전드 오브 타잔,2016.6.29,"7,196,970,717",0.4%,"858,402",593,"28,021",미국,미국,워너브러더스 코리아(주)
59,좋아해줘,2016.2.17,"6,572,774,337",0.4%,"848,148",637,"27,125",한국,한국,씨제이이앤엠(주)
60,브리짓 존스의 베이비,2016.9.28,"6,678,585,874",0.4%,"820,995",509,"30,736",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
61,스플릿,2016.11.9,"6,102,712,539",0.4%,"758,195",702,"32,616",한국,한국,오퍼스픽쳐스
62,런던 해즈 폴른,2016.3.10,"5,908,367,979",0.3%,"731,584",526,"37,569",미국,"미국,영국",메가박스(주)플러스엠
63,국가대표 2,2016.8.10,"5,482,232,042",0.3%,"709,929",562,"20,689",한국,한국,메가박스(주)플러스엠
64,인페르노,2016.10.19,"5,656,281,303",0.3%,"689,071",754,"31,809",미국,"미국,일본,터키,헝가리",유니버설픽쳐스인터내셔널 코리아(유)
65,앵그리버드 더 무비,2016.5.19,"5,218,111,744",0.3%,"680,606",661,"15,812",미국,"미국,핀란드",유니버설픽쳐스인터내셔널 코리아(유)
66,그날의 분위기,2016.1.14,"5,149,571,612",0.3%,"653,287",592,"27,186",한국,한국,(주)쇼박스
67,사냥,2016.6.29,"4,912,658,515",0.3%,"645,922",696,"28,862",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
68,널 기다리며,2016.3.10,"5,234,303,336",0.3%,"635,235",551,"33,774",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
69,설리: 허드슨강의 기적,2016.9.28,"5,234,170,754",0.3%,"627,102",573,"26,609",미국,미국,워너브러더스 코리아(주)
70,잭 리처: 네버 고 백,2016.11.30,"4,638,072,258",0.3%,"611,097",667,"23,659",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
71,로그 원: 스타워즈 스토리,2016.12.28,"5,127,537,094",0.3%,"596,487",907,"15,441",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
72,싱 스트리트,2016.5.19,"4,489,637,672",0.3%,"560,790",494,"22,825",아일랜드,"아일랜드,영국,미국",(주)이수C&E
73,아이스 에이지: 지구 대충돌,2016.7.20,"4,092,484,600",0.2%,"553,760",580,"13,018",미국,미국,이십세기폭스코리아(주)
74,몬스터 호텔 2,2015.12.24,"4,059,258,691",0.2%,"552,334",637,"13,162",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
