순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,7번방의 선물,2013.1.23,"91,431,914,670",5.9%,"12,811,206",866,"166,815",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2,설국열차,2013.8.1,"67,010,087,500",4.3%,"9,349,993","1,128","124,823",한국,한국,씨제이이앤엠(주)
3,관상,2013.9.11,"66,005,427,500",4.3%,"9,134,581","1,240","125,073",한국,한국,(주)쇼박스
4,아이언맨 3,2013.4.25,"70,806,364,000",4.6%,"9,001,331","1,389","163,584",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
5,베를린,2013.1.30,"52,355,568,637",3.4%,"7,166,290",894,"111,744",한국,한국,씨제이이앤엠(주)
6,은밀하게 위대하게,2013.6.5,"48,700,887,413",3.1%,"6,959,083","1,341","117,461",한국,한국,(주)쇼박스
7,변호인,2013.12.18,"40,953,398,000",2.6%,"5,687,047",923,"55,006",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
8,숨바꼭질,2013.8.14,"39,602,977,500",2.6%,"5,604,103",779,"88,062",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
9,더 테러 라이브,2013.7.31,"39,869,706,381",2.6%,"5,584,139",809,"93,488",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
10,감시자들,2013.7.3,"39,380,162,179",2.5%,"5,508,017",949,"100,309",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
11,월드 워 Z,2013.6.20,"38,555,356,000",2.5%,"5,237,525",964,"100,823",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
12,신세계,2013.2.21,"34,881,330,905",2.2%,"4,682,492",671,"90,580",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
13,박수건달,2013.1.9,"28,343,986,569",1.8%,"3,893,216",603,"60,585",한국,한국,(주)쇼박스
14,스파이,2013.9.5,"24,509,278,305",1.6%,"3,435,802",785,"72,796",한국,한국,씨제이이앤엠(주)
15,그래비티,2013.10.17,"31,214,018,600",2.0%,"3,194,693",636,"80,584",미국,미국,워너브러더스 코리아(주)
16,타워,2012.12.25,"22,996,601,500",1.5%,"3,166,425",638,"58,869",한국,한국,씨제이이앤엠(주)
17,감기,2013.8.14,"21,774,884,000",1.4%,"3,117,859",806,"55,046",한국,한국,아이러브시네마
18,토르: 다크 월드,2013.10.30,"22,525,808,500",1.5%,"3,039,889",733,"78,095",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
19,레드: 더 레전드,2013.7.18,"21,511,371,970",1.4%,"3,004,649",739,"55,733",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
20,친구 2,2013.11.14,"21,795,237,513",1.4%,"2,969,900",968,"69,856",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
21,어바웃 타임,2013.12.5,"20,908,973,000",1.3%,"2,856,065",568,"49,967",영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
22,나우 유 씨 미 : 마술사기단,2013.8.22,"19,146,691,869",1.2%,"2,718,227",691,"54,658",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
23,소원,2013.10.2,"18,529,862,600",1.2%,"2,711,083",651,"72,329",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
24,레미제라블,2012.12.19,"19,635,813,500",1.3%,"2,707,479",592,"49,348",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
25,퍼시픽 림,2013.7.11,"20,477,374,512",1.3%,"2,539,113","1,005","55,655",미국,미국,워너브러더스 코리아(주)
26,화이: 괴물을 삼킨 아이,2013.10.9,"17,695,412,795",1.1%,"2,394,453",817,"59,049",한국,한국,(주)쇼박스
27,컨저링,2013.9.17,"16,353,225,777",1.1%,"2,262,758",563,"48,616",미국,미국,워너브러더스 코리아(주)
28,맨 오브 스틸,2013.6.13,"17,092,964,063",1.1%,"2,182,227",998,"55,514",미국,미국,워너브러더스 코리아(주)
29,용의자,2013.12.24,"15,629,492,500",1.0%,"2,176,752",807,"26,814",한국,한국,(주)쇼박스
30,호빗: 스마우그의 폐허,2013.12.12,"16,564,184,549",1.1%,"2,115,878",811,"35,223",미국,"미국,뉴질랜드",워너브러더스 코리아(주)
31,몽타주,2013.5.16,"15,002,458,500",1.0%,"2,095,592",544,"53,195",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
32,터보,2013.7.25,"13,116,737,000",0.8%,"1,924,414",634,"28,783",미국,미국,씨제이이앤엠(주)
33,연애의 온도,2013.3.21,"13,798,864,446",0.9%,"1,865,195",567,"57,847",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
34,지.아이.조 2,2013.3.28,"14,457,048,500",0.9%,"1,855,917",766,"62,627",미국,"미국,캐나다",씨제이이앤엠(주)
35,분노의 질주: 더 맥시멈,2013.5.22,"13,210,338,042",0.9%,"1,790,916",657,"44,371",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
36,공범,2013.10.24,"12,333,110,882",0.8%,"1,766,285",611,"51,425",한국,한국,씨제이이앤엠(주)
37,집으로 가는 길,2013.12.11,"12,373,339,745",0.8%,"1,763,231",740,"39,811",한국,한국,씨제이이앤엠(주)
38,전설의 주먹,2013.4.10,"12,777,314,500",0.8%,"1,744,585",724,"57,593",한국,한국,씨제이이앤엠(주)
39,파파로티,2013.3.14,"11,825,934,000",0.8%,"1,716,429",552,"53,601",한국,한국,(주)쇼박스
40,스타트렉 다크니스,2013.5.30,"12,964,828,000",0.8%,"1,605,271",607,"40,504",미국,미국,씨제이이앤엠(주)
41,라이프 오브 파이,2013.1.1,"15,812,506,500",1.0%,"1,588,373",392,"32,722",미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
42,오블리비언,2013.4.11,"11,165,841,500",0.7%,"1,515,356",634,"47,871",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
43,위대한 개츠비,2013.5.16,"10,581,329,643",0.7%,"1,445,248",562,"36,008",미국,"미국,호주",워너브러더스 코리아(주)
