code,title,관객수,매출액,year,genre,down
71509,아저씨,6178248,47101332000,2010,"['액션', '범죄', '드라마']",0
52515,인셉션,5827444,43394990000,2010,"['액션', '모험', 'SF', '스릴러']",0
52548,의형제,5416812,40153729000,2010,"['액션', '드라마']",0
49008,아이언맨2,4425003,32635195500,2010,"['SF', '모험', '액션']",0
52326,이끼,3350303,25437300500,2010,"['드라마', '범죄']",0
51386,포화속으로,3330324,23831958600,2010,"['전쟁', '드라마']",0
88170,하모니,3018131,21641750000,2010,['애니메이션'],0
45919,방자전,2985483,22490024000,2010,['드라마'],0
50669,솔트,2869938,21360288000,2010,"['액션', '스릴러']",0
52747,부당거래,2722996,20996302500,2010,"['범죄', '드라마']",0
73318,시라노;연애조작단,2684783,19838369000,2010,"['멜로/로맨스', '코미디']",0
54640,타이탄,2642483,21796996500,2010,"['판타지', '액션', '모험', '드라마']",0
70457,드래곤길들이기,2562412,27040606000,2010,"['애니메이션', '모험', '코미디', '가족', '판타지']",0
71920,하녀,2267556,17038639000,2010,['스릴러'],0
71486,나잇&데이,2243484,16777869600,2010,"['액션', '코미디']",0
69940,슈렉포에버,2223851,22809145100,2010,"['애니메이션', '모험', '코미디', '가족', '판타지']",0
50163,이상한나라의앨리스,2147012,20334399500,2010,"['판타지', '모험', '가족']",0
73344,초능력자,2130606,15374489000,2010,"['SF', '스릴러', '액션', '드라마']",0
71499,이클립스,2069246,14945720000,2010,"['판타지', '멜로/로맨스', '스릴러']",0
75724,쩨쩨한로맨스,2009586,15338827000,2010,"['멜로/로맨스', '코미디']",0
67374,페르시아의왕자:시간의모래,1970823,14483501000,2010,"['액션', '모험', '판타지', '멜로/로맨스']",0
69958,퍼시잭슨과번개도둑,1846180,13158158500,2010,"['판타지', '모험']",0
72962,해결사,1843404,13844624000,2010,"['액션', '스릴러']",0
72408,악마를보았다,1817063,13919416500,2010,"['범죄', '스릴러']",0
65994,로빈후드,1570681,11560588500,2010,"['액션', '드라마']",0
61115,무적자,1546132,11629780500,2010,"['액션', '드라마']",0
69986,황해,1497242,11524115000,2010,"['범죄', '스릴러']",0
66463,토이스토리3,1458865,14319338600,2010,"['애니메이션', '모험', '코미디', '가족', '판타지']",0
52234,구르믈버서난달처럼,1383867,10241716500,2010,"['드라마', '액션']",0
52541,라스트에어벤더,1371164,13854892500,2010,"['판타지', '액션', '모험', '가족']",0
75401,헬로우고스트,1356230,9796273500,2010,['코미디'],0
73114,육혈포강도단,1214237,8651186000,2010,"['범죄', '코미디']",0
53751,레지던트이블4:끝나지않은전쟁3D,1190008,14533948000,2010,"['액션', '공포', 'SF', '스릴러']",0
49532,나니아연대기:새벽출정호의항해,1140201,10889884000,2010,"['판타지', '모험', '가족']",0
70397,베스트셀러,1081752,7983184500,2010,['미스터리'],0
74893,김종욱찾기,1081748,7894328000,2010,"['멜로/로맨스', '코미디']",0
73301,마루밑아리에티,1065967,7649985500,2010,"['애니메이션', '판타지']",0
73339,슈퍼배드,1027050,9717463000,2010,"['애니메이션', '가족']",0
71498,파괴된사나이,1012310,7692092100,2010,"['스릴러', '드라마']",0
69689,셔터아일랜드,990223,7407854500,2010,"['드라마', '미스터리', '스릴러']",0
72648,방가?방가!,972431,7013842000,2010,['코미디'],0
51700,투어리스트,901843,6728872000,2010,"['액션', '스릴러', '드라마']",0
76581,스카이라인,860340,6320601500,2010,"['SF', '스릴러']",0
50598,A-특공대,777985,5795794000,2010,"['액션', '모험', '스릴러']",0
73096,마음이2,696382,4631432000,2010,"['가족', '코미디', '모험']",0
70910,내깡패같은애인,688639,5028520000,2010,"['코미디', '드라마', '멜로/로맨스']",0
71987,스텝업3D,671845,7345439000,2010,"['드라마', '멜로/로맨스']",0
70427,새미의어드벤쳐,647860,6108607500,2010,"['애니메이션', '모험']",0
75216,명탐정코난:천공의난파선,618420,4002088500,2010,"['애니메이션', '모험', '가족']",0
74879,이층의악당,596851,4271750500,2010,"['코미디', '범죄']",0
46875,그린존,596403,4460075000,2010,"['액션', '드라마', '스릴러', '전쟁']",0
73394,반가운살인자,590531,4285830500,2010,"['코미디', '범죄', '스릴러']",0
61273,레터스투줄리엣,582958,4270689500,2010,"['멜로/로맨스', '코미디']",0
74269,퀴즈왕,573001,4188846000,2010,['코미디'],0
52744,마법사의제자,570775,4057522000,2010,"['액션', '모험', '코미디', '드라마', '판타지']",0
47531,라스트갓파더,543544,3953691500,2010,['코미디'],0
64686,소셜네트워크,509177,3744100000,2010,['드라마'],0
72181,피라냐,505836,5661671000,2010,"['액션', '공포', '스릴러']",0
70999,먹고기도하고사랑하라,500266,3674965000,2010,"['드라마', '멜로/로맨스']",0
75400,불량남녀,483387,3562190000,2010,['코미디'],0
74308,레드,482053,3550436000,2010,['액션'],0
77434,레드,482053,3550436000,2010,['애니메이션'],0
80254,레드,482053,3550436000,2010,['애니메이션'],0
71932,친정엄마,472009,3321091000,2010,['드라마'],0
71790,적인걸:측천무후의비밀,459876,3342474000,2010,"['미스터리', '범죄', '액션', '스릴러']",0
70434,언스토퍼블,452320,3273318500,2010,"['액션', '드라마', '스릴러']",0
73638,대한민국1%,440372,2244690500,2010,"['드라마', '액션']",0
66583,워리어스웨이,432072,3097461500,2010,"['액션', '판타지', '서부']",0
53084,섹스앤더시티2,398347,3022970000,2010,"['코미디', '드라마', '멜로/로맨스']",0
51943,익스펜더블,390438,2973224000,2010,"['액션', '모험', '스릴러', '전쟁']",0
53097,공자춘추전국시대,371607,2774370000,2010,"['액션', '드라마']",0
71942,프롬파리위드러브,369394,2804967500,2010,"['액션', '범죄', '스릴러']",0
73787,파라노말액티비티2,358453,2575677000,2010,['공포'],0
51083,맨발의꿈,331945,2372787500,2010,['드라마'],0
70122,킬러스,322888,2386700000,2010,"['액션', '코미디', '멜로/로맨스', '스릴러']",0
71487,검우강호,312283,2242810500,2010,['액션'],0
73918,가디언의전설,302318,2613934200,2010,"['애니메이션', '모험', '판타지']",0
52103,베스트키드,287278,2031914500,2010,"['액션', '드라마', '가족']",0
73285,프레데터스,276536,1991492500,2010,"['SF', '스릴러', '액션', '모험']",0
50682,울프맨,265409,2062933500,2010,"['공포', '스릴러']",0
74485,극장판도라에몽:진구의인어대해전,260701,1741701000,2010,['애니메이션'],0
70908,월스트리트:머니네버슬립스,241438,1760899000,2010,['드라마'],0
76458,폐가,225955,1586581500,2010,['공포'],0
70000,일라이,219196,1634626500,2010,"['액션', '모험', '드라마', 'SF', '스릴러', '서부']",0
70562,시,218514,1543441350,2010,['드라마'],0
72043,쓰리데이즈,218306,1584153500,2010,"['범죄', '드라마', '멜로/로맨스', '스릴러']",0
73193,페스티발,196937,1517620500,2010,"['코미디', '멜로/로맨스']",0
50498,엣지오브다크니스,193380,1416485500,2010,"['스릴러', '액션', '드라마']",0
71623,디어존,189117,1416393000,2010,"['드라마', '멜로/로맨스', '전쟁']",0
49945,유령작가,177671,1314227500,2010,"['미스터리', '드라마', '스릴러']",0
69991,발렌타인데이,169529,1314085500,2010,"['멜로/로맨스', '코미디']",0
74425,그랑프리,167024,1219746000,2010,['드라마'],0
49726,렛미인,166395,1140504500,2010,"['드라마', '판타지', '공포', '멜로/로맨스', '스릴러']",0
52530,비밀애,164252,1206962000,2010,"['멜로/로맨스', '미스터리']",0
53781,김복남살인사건의전말,161659,1251243100,2010,['스릴러'],0
75240,무법자,160734,1221713500,2010,"['액션', '드라마']",0
70992,킥애스:영웅의탄생,151159,1148869500,2010,"['액션', '드라마']",0
71943,크레이지,143784,1104433000,2010,"['공포', 'SF', '스릴러', '액션', '드라마']",0
70883,나이트메어,136925,1056379500,2010,"['공포', '스릴러', '판타지']",0
72357,트론:새로운시작,131307,1469097300,2010,"['액션', '모험', 'SF', '스릴러']",0
54971,죽이고싶은,130784,973594000,2010,['스릴러'],0
73396,두여자,129495,967113000,2010,"['멜로/로맨스', '드라마']",0
78155,22블렛,128534,975507500,2010,"['액션', '범죄', '스릴러']",0
75016,스트리트댄스,127629,1424994000,2010,"['드라마', '멜로/로맨스']",0
76037,데블,116403,855105000,2010,"['공포', '미스터리', '스릴러']",0
71691,쏘우3D,114034,1447063000,2010,['공포'],0
73284,캣츠앤독스2,107921,797837500,2010,"['액션', '코미디', '가족']",0
72222,프로포즈데이,107337,812954000,2010,"['멜로/로맨스', '코미디']",0
73397,아마존의눈물,104201,648292000,2010,['다큐멘터리'],0
73398,아마존의눈물,104201,648292000,2010,['다큐멘터리'],0
75467,라스트엑소시즘,103410,724257000,2010,"['공포', '스릴러']",0
70922,꿈은이루어진다,101698,718090000,2010,"['코미디', '드라마']",0
75735,나탈리,94875,1114062000,2010,['멜로/로맨스'],0
69992,스위치,82503,558483500,2010,"['코미디', '드라마', '멜로/로맨스']",0
72080,엑스페리먼트,79088,574538000,2010,"['실험', '스릴러']",0
74094,센츄리온,72669,543635000,2010,"['액션', '모험', '드라마', '스릴러', '전쟁']",0
51442,주문진,66098,372281300,2010,"['멜로/로맨스', '드라마', '판타지']",0
69945,골든슬럼버,65167,476378500,2010,['스릴러'],0
75390,돌이킬수없는,64371,465532500,2010,"['스릴러', '미스터리', '드라마']",0
74093,베리드,63234,461632500,2010,"['드라마', '미스터리', '스릴러']",0
74196,에브리바디올라잇,60857,458376000,2010,"['코미디', '드라마']",0
70229,바운티헌터,59581,453911000,2010,"['액션', '코미디', '멜로/로맨스']",0
52757,엽문2,58928,444197000,2010,"['액션', '드라마']",0
72242,듀데이트,56455,433642000,2010,['코미디'],0
76695,대지진,54125,373092500,2010,['드라마'],0
52229,폭풍전야,51760,387323000,2010,['멜로/로맨스'],0
52301,킬러인사이드미,50734,385670500,2010,"['범죄', '드라마', '스릴러', '서부']",0
52532,된장,45165,334175900,2010,['미스터리'],0
75744,옥희의영화,36027,277358700,2010,['드라마'],0
74461,소명2-모겐족의월드컵,29221,197341000,2010,['다큐멘터리'],0
70399,집나온남자들,25773,186095500,2010,"['코미디', '드라마']",0
74205,스즈미야하루히의소실,24055,166044500,2010,"['애니메이션', '코미디', 'SF']",0
71713,사요나라이츠카,23229,179113500,2010,"['드라마', '멜로/로맨스']",0
70396,아메리칸,23030,172979500,2010,"['범죄', '드라마']",0
76411,스페이스침스-자톡의역습3D,22655,210060100,2010,['애니메이션'],0
74522,소와함께여행하는법,16096,105338000,2010,['드라마'],0
66361,런어웨이즈,14848,110024500,2010,['드라마'],0
87214,밀크,13159,95544000,2010,['에로'],0
91346,더도어,13061,101746000,2010,"['액션', '드라마', '스릴러']",0
75380,레고:클러치파워의모험,12430,86350500,2010,"['애니메이션', '액션', '가족']",0
74054,조금만더가까이,11723,90058200,2010,"['멜로/로맨스', '드라마']",0
77567,나루토질풍전극장판4-더로스트타워,11116,75017000,2010,"['애니메이션', '모험']",0
52996,소라닌,10913,81223000,2010,['드라마'],0
53089,내남자의순이,10449,73108500,2010,['코미디'],0
78198,토일렛,9551,70711000,2010,['드라마'],0
76373,투아이즈,8460,63764900,2010,['공포'],0
77157,어쿠스틱,7908,57027000,2010,['드라마'],0
78166,벡,6699,48412000,2010,['드라마'],0
75572,고스트:보이지않는사랑,6624,49540500,2010,"['드라마', '판타지', '미스터리', '멜로/로맨스', '스릴러']",0
72960,요술,5993,46293700,2010,['드라마'],0
75236,엉클분미,5700,47875000,2010,"['판타지', '드라마']",0
78826,여의도,5322,40196000,2010,['드라마'],0
79215,레퓨지,5313,38932500,2010,[],0
75247,하트비트,4794,34913500,2010,"['드라마', '멜로/로맨스']",0
77906,할,4653,34424500,2010,['드라마'],0
78973,사랑하고싶은시간,4573,33480500,2010,['드라마'],0
80470,2AMSHOW,4020,45518000,2010,[],0
79152,용서,3993,29661000,2010,['다큐멘터리'],0
74532,꽃비,3965,31909500,2010,['드라마'],0
77171,브라보!재즈라이프,3785,29341800,2010,['다큐멘터리'],0
69988,서서자는나무,3754,28866500,2010,"['드라마', '멜로/로맨스']",0
71070,로마에서생긴일,3429,26475000,2010,"['멜로/로맨스', '코미디']",0
52498,이파네마소년,3410,25033500,2010,['멜로/로맨스'],0
75445,마마앤드파파,3099,22116000,2010,['드라마'],0
77920,라이브인3D휘성:잇츠리얼,2920,39755000,2010,['공연실황'],0
76791,불청객,2748,19445000,2010,['판타지'],0
75028,레인보우,2649,19510100,2010,['드라마'],0
80299,레인보우,2649,19510100,2010,['애니메이션'],0
52778,살인의강,2475,18936500,2010,['스릴러'],0
74523,원나잇스탠드,2123,14584800,2010,"['드라마', '멜로/로맨스']",0
49920,탈주,2060,15836600,2010,['드라마'],0
79104,브라더후드,1932,15309400,2010,['드라마'],0
71599,우리만난적있나요,1928,14688500,2010,"['멜로/로맨스', '판타지']",0
75237,아웃레이지,1758,13179500,2010,"['범죄', '드라마']",0
73854,히어로,1564,13447000,2010,"['드라마', '액션']",0
78152,희망의별-이퀘지레템바,1291,8543000,2010,['다큐멘터리'],0
76760,퍼머넌트노바라,1194,8119800,2010,"['판타지', '드라마']",0
